,collectCount,commentCount,createTimeISO,likes,mentions0,mentions1,playCount,shareCount,text,videoMeta/duration,videoMeta/format
207,249,37,2024-06-05T16:05:23.000Z,3883,@isabellemathers,,119000,51,winding  rhode kit,35,mp4
208,18700,3544,2024-06-04T20:39:33.000Z,658900,@Hailey,,6700000,17600,bieber,17,mp4
210,678,153,2024-06-04T16:37:59.000Z,18200,,,252800,415,itty bitty bits may ps working hard new things coming soon,0,
211,151,39,2024-06-03T18:41:42.000Z,4438,@Hair,,161300,60,weekend miami rhode booth  tips | beauty | lifestyle,8,mp4
212,632,87,2024-06-03T16:26:50.000Z,12500,@Hailey,,223300,136,go glow bieber,59,mp4
214,111,38,2024-06-02T18:42:55.000Z,2404,,,86800,94,rhode booth takes miami recap day one,33,mp4
215,1257,87,2024-06-02T16:49:38.000Z,69600,,,739300,383,keeping lip tint summer ?,10,mp4
216,198,62,2024-06-01T23:31:54.000Z,5013,@Rebeca,,108600,84,rhode booth takes miami lupi,15,mp4
217,184,64,2024-06-01T21:18:06.000Z,5934,,,111300,212,rhode booth miami come visit us weekend take pics get peptide lip tint june 1st & 2nd 12pm 8pm et miami design district 95 ne 40th st miami fl 33137,16,mp4
218,506,29,2024-06-01T16:09:33.000Z,5806,@Amaya♡’s,,106700,88,4 step summer glow,31,mp4
219,337,23,2024-05-31T23:00:12.000Z,4988,,,95800,52,24hrs rhode,0,
220,2856,66,2024-05-31T20:05:34.000Z,24800,@aminaoui,,421600,374,hb summer mani,19,mp4
221,2815,333,2024-05-31T16:10:34.000Z,82300,,,934800,653,hb hydration routine 31000 feet peptide glazing fluid draw water face oil lasting moisture sheet mask seal swipe peptide lip treatment,50,mp4
222,307,48,2024-05-30T21:20:09.000Z,5683,@sophiess,,83300,48,lip tint touch ups,7,mp4
223,221,25,2024-05-30T18:47:00.000Z,2386,,,50700,50,taste rhode summer,5,mp4
224,146,51,2024-05-30T16:14:20.000Z,2572,,,56200,134,rhode booth tour next stop miami rhode booth going tour summer stopping miami weekend come take pics get peptide lip tint june 1st & 2nd 12pm 8pm et miami design district 95 ne 40th st miami fl 33137,9,mp4
